movie,recommendation
Fame,False
The September Issue,"['Trekkies 2', 'Shadow Company', 'The Legend of Leigh Bowery', 'Life and Debt', 'Before Flying Back to Earth']"
Paris Trout,"['The Last Time I Saw Paris', 'The Dreamers', 'A Woman of Paris', 'Is Paris Burning?', 'Gay Purr-ee']"
Assassination of a High School President,"['Death Wish 3', 'Bully', 'Big Fan', 'My Tutor', 'Dream a Little Dream']"
How to Be a Serial Killer,"['F/X2', 'Redbelt', 'Kalifornia', 'Gacy', 'Mike Bassett: England Manager']"
Bud Abbott and Lou Costello in Hollywood,"['Just Love Me', 'Jack and the Beanstalk', 'Anything Goes', 'The Little Shop of Horrors', 'Abbott and Costello Meet the Mummy']"
Abbott and Costello in the Foreign Legion,"['Abbott and Costello Meet the Invisible Man', 'Unmade Beds', 'The Waiting Game', 'It', 'Martin Lawrence: You So Crazy']"
Sorority Row,"['The House on Sorority Row', 'Deep Red', 'Black Christmas', 'Black Rainbow', 'The Dunwich Horror']"
Whiteout,"['Lady on a Train', 'Thunderheart', 'A Night to Remember', 'Spartan', 'White Sands']"
Rudo & Cursi,"['Hometown Legend', 'Possible Loves', 'Mr. Destiny', 'Wings of Desire', 'Raising Helen']"
An Education,"['Bilitis', 'These Girls', 'Wildflowers', 'The Year My Voice Broke', 'Year of the Dog']"
David and Lisa,False
Abbott and Costello Meet Captain Kidd,"['A Friend Is a Treasure', 'Heaven Knows, Mr. Allison', 'Playmobil: The Secret of Pirate Island', 'Long John Silver', 'Blue Week']"
Life Is a Bed of Roses,"['All About Lily Chou-Chou', 'Ernest Goes to School', 'Hamlet 2', 'Hometown Legend', 'The Curiosity of Chance']"
Coco Before Chanel,"['Our Music', 'Weekend', 'A Woman Is a Woman', 'A Very Long Engagement', 'The Night of Varennes']"
The Story of Louis Pasteur,"['The Statement', 'The World Moves On', 'The Sorrow and the Pity', 'Joan of Arc', 'A Midnight Clear']"
The Killing of John Lennon,"['I, Madman', 'A Murder of Crows', 'The Adversary', 'The Number 23', 'Chasing Amy']"
Burma VJ: Reporting from a Closed Country,"[""Outfoxed: Rupert Murdoch's War on Journalism"", 'D.O.A.', 'Baraka', 'In the Mirror of Maya Deren', 'Reindeerspotting - Escape From Santaland']"
Werner Herzog Eats His Shoe,"['The White Diamond', 'My Best Fiend', 'Wings of Hope', 'Grizzly Man', 'Incident at Loch Ness']"
Capone,"['Al Capone', 'Love Streams', 'High Roller: The Stu Ungar Story', 'Tycoon', 'Big Bad Mama']"
Abbott and Costello Meet the Keystone Kops,"['Cecil B. Demented', 'Goodbye, Dragon Inn', 'Intervista', 'Shadows', 'Mala Noche']"
Couples Retreat,"['Sex and Breakfast', 'Club Paradise', 'Worth Winning', 'Chapter Two', 'Made']"
All About Steve,"['Mr. Wrong', 'Nigdy w życiu!', 'Under the Yum-Yum Tree', 'A Cure for Love', 'The Tall Guy']"
Hiroshima,"['Eddie and the Cruisers II: Eddie Lives!', 'The Apple', 'Purple Rain', 'Beauty and the Bastard', 'Heavy Metal in Baghdad']"
Giant,False
The End of St. Petersburg,"['Shadows', 'Strike', 'The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks', 'Intervista', 'Good Men, Good Women']"
Jab We Met,"[""Zhou Yu's Train"", 'Rails & Ties', 'Illusive Tracks', 'Terror Train', 'Mrs. Winterbourne']"
Fifty Dead Men Walking,"[""Some Mother's Son"", 'The Wrong Arm of the Law', 'Kops', 'An Innocent Man', '36th Precinct']"
Bay of Angels,"['Jules and Jim', 'Love Sick', 'Sabah', ""It's All About Love"", 'A Cure for Love']"
The Docks of New York,"['Deep Crimson', 'The Wedding Banquet', 'A Price Above Rubies', 'Raising Helen', 'A Further Gesture']"
Our Daily Bread,False
Deadgirl,"['Cry_Wolf', 'The Substitute', 'Late Bloomers', 'Just Friends', 'All About Lily Chou-Chou']"
Lola,False
The Merry Jail,"['The Marriage Circle', 'Juha', 'Calendar', 'Angel', 'Wife']"
Love Hina Spring Special - I Wish Your Dream,"['Love Hina Christmas Special: Silent Eve', 'A Foreign Affair', 'Sweet Charity', 'The Fantasticks', 'Swept Away']"
Yellow Earth,"['Night Crossing', 'A King in New York', 'To Kill a Priest', 'East Side Story', 'Courage Mountain']"
Cleopatra,False
The Divorce of Lady X,"['Miranda', 'Under the Bridges', 'Cooking With Stella', 'French Cancan', 'Rare Birds']"
Bye-Bye Bin Laden,"['The Comedians of Comedy', 'Duets', ""Will Ferrell: You're Welcome America - A Final Night with George W. Bush"", 'And Now for Something Completely Different', 'Turtles Forever']"
Gayniggers from Outer Space,"['The Last Man', 'Cat Soup', 'Return of the Killer Tomatoes!', 'Three Men and a Little Lady', 'The Fantasticks']"
The Windmill Movie,"['A Brief History of Time', 'Demon Lover Diary', 'Trekkies 2', 'Reindeerspotting - Escape From Santaland', 'My Flesh and Blood']"
I Sell The Dead,"['Arthur 2: On the Rocks', 'The Winslow Boy', 'How I Killed My Father', 'Alice Adams', 'Ten Canoes']"
Van Gogh,"['Vincent & Theo', 'Vincent', 'Late Night Shopping', 'The Color of Money', 'Twins']"
The Shanghai Gesture,"['Sherlock Holmes in Washington', 'Young Sherlock Holmes', 'The Bat Whispers', 'Captives', 'The Unsuspected']"
The Tales of Hoffmann,"[""Jason's Lyric"", 'Alfie', 'The Red Shoes', ""L'eclisse"", 'Fanny']"
The Wedding March,"['Kiss or Kill', 'Friends and Family', 'Spread', '51 Birch Street', 'Endless Love']"
Where the Wild Things Are,"['Gordy', 'The Last Unicorn', 'The City of No Limits', 'Shrek the Third', 'Over the Hedge']"
Georg,"['Love Me Tender', 'Firelight', 'Redacted', 'The Jazz Singer', 'Little Richard']"
Chelsea Girls,"['Chelsea Walls', 'The City', 'The Waiting Game', 'The Girlfriend Experience', 'When the Levees Broke: A Requiem in Four Acts']"
Entranced Earth,"['Two Deaths', 'Lumumba', 'Spinning Boris', 'Interview', 'Führer Ex']"
The Cloud-Capped Star,"[""What's Cooking?"", 'An American Rhapsody', 'Young Black Stallion', 'My Neighbors the Yamadas', 'Spider Baby']"
India Song,"['Possible Loves', 'Kal Ho Naa Ho', 'Dedication', 'CRAZY', 'Every Stewardess Goes to Heaven']"
¡Que Viva México!,"[""Ivan the Terrible, Part II: The Boyars' Plot"", 'Ivan the Terrible, Part I', 'Alexander Nevsky', 'October (Ten Days that Shook the World)', 'Strike']"
Get Thrashed,"[""Metal: A Headbanger's Journey"", 'Global Metal', 'The Decline of Western Civilization Part II: The Metal Years', 'Heavy Metal in Baghdad', 'Iron Maiden: Flight 666']"
Aces High,"['Sink the Bismarck!', 'House of Fools', 'The Life and Death of Colonel Blimp', 'When the Wind Blows', 'Midway']"
Shoulder Arms,"['The Pilgrim', 'The Immigrant', 'The Adventurer', ""A Dog's Life"", 'The Idle Class']"
The Man Who Watched Trains Go By,"['The Air I Breathe', 'City By The Sea', 'Ariel', 'New York', 'Raising Helen']"
Reckless,False
Lost Angels,"['Doing Time on Maple Drive', 'The Subject Was Roses', 'Outside Providence', 'Crazy As Hell', 'Of Mice and Men']"
Black Eagle,"['Wake of Death', 'Ballistic: Ecks vs. Sever', 'Bat*21', 'JCVD', 'OSS 117: Lost in Rio']"
Legionnaire,"['Wake of Death', 'Savior', 'In The Mix', 'The Hard Corps', 'Lionheart']"
Beer Wars,"['Life and Debt', 'Los Angeles Plays Itself', 'JLG/JLG: Self-Portrait in December', 'Suicide Killers', 'Trekkies 2']"
Shorts,"['The Adventures of Food Boy', 'Mon oncle Antoine', 'Jack and the Beanstalk', 'Our Hospitality', 'The Con']"
"New York, I Love You","['The City', ""The Butcher's Wife"", 'A Little Romance', 'Happenstance', 'The Waiting Game']"
Law Abiding Citizen,"['Slow Burn', 'Criminal Law', 'American Violet', 'The Public Eye', ""Cutter's Way""]"
The Flame and the Arrow,"['Robin and Marian', 'Adventures of Don Juan', 'The Prisoner of Zenda', 'Ivanhoe', 'The Rose Tattoo']"
"I, Monster","['Dr. Jekyll and Mr. Hyde', 'Carry On Screaming', 'Mary Reilly', 'The Revenge of Frankenstein', 'Spellbound']"
Rich in Love,"['The Grass Harp', 'Along the Ridge', 'The Run of the Country', 'Fast Food Nation', 'The Umbrella Woman']"
The Misfortunates,"['The Butterfly', 'Hideous Kinky', 'New Waterford Girl', 'Children on Their Birthdays', 'Fanny']"
Moon Warriors,"['The Bride with White Hair', 'Allegro', 'Heart of the Dragon', 'White Fang 2: Myth of the White Wolf', 'As Tears Go By']"
Amelia,"['Resistance', 'The Life Aquatic with Steve Zissou', 'High Risk', 'New York', 'King David']"
The Stepfather,False
See You in the Morning,"['Throw Momma from the Train', 'Starting Over', 'Along the Ridge', 'The King and I', 'Appointment with Death']"
Mary and Max,"['The Children of Leningradsky', 'Human Trafficking', 'Hard Candy', 'Wildflowers', 'New Waterford Girl']"
Spread,"['The Wedding March', 'Kiss or Kill', 'Life Stinks', 'Wedding Daze', 'Cyrus']"
The Tournament,"['Left Behind III: World at War', 'Games People Play', 'House on Haunted Hill', 'House on Haunted Hill', 'White Sands']"
The Boys Are Back,"['A Family Thing', 'Riding Alone for Thousands of Miles', 'The Forgotten', 'Big Fella', 'Character']"
Cairo Time,"['A Summer Place', 'Sabah', 'The Rose Tattoo', 'Juha', 'Walking and Talking']"
5th Day of Peace,"['The Life and Death of Colonel Blimp', 'Von Richthofen and Brown', 'The Secret of Santa Vittoria', 'House of Fools', 'Grand Illusion']"
The 7th Dawn,"['The Bridges at Toko-Ri', 'How I Unleashed World War II Part III: Among Friends', 'The Fighting Sullivans', 'Ice Cold in Alex', 'The Specials']"
There's Always Tomorrow,"['Rich and Strange', 'The Bitter Tea of General Yen', 'Annie Oakley', 'The Absent-Minded Professor', 'Little Man Tate']"
The Round-Up,"['The Red and the White', 'The Rack', 'The Truce', 'Joyeux Noël', 'Rules of Engagement']"
The Taking of Power by Louis XIV,"['After You', 'Marie Antoinette', 'The Fifth Musketeer', 'The Man in the Iron Mask', 'The Intruder']"
The Sound Barrier,"['House of Fools', 'Battle Cry', 'Brideshead Revisited', 'Frankie Starlight', 'The Hunters']"
Spring in a Small Town,"['A Summer Place', 'Shoot the Moon', 'Only Yesterday', 'All That Heaven Allows', 'Rules of Engagement']"
The Princess and the Pirate,"['Mr. Woodcock', 'Road to Morocco', 'Only You', ""VeggieTales: The Pirates Who Don't Do Anything"", 'CRAZY']"
Ceddo,"['Rules of Engagement', 'Midway', 'House of Fools', 'The Legend of Suriyothai', 'Guelwaar']"
The Tiger of Eschnapur,"['The Indian Tomb', 'Dedication', 'Samsara', 'A Cure for Love', 'Isadora']"
Mother,False
Under the Roofs of Paris,"['The Fantasticks', 'Dedication', 'Under the Bridges', 'French Cancan', 'Sleep with Me']"
The Hour of the Furnaces,"['Girlhood', 'Comandante', 'Best Boy', 'Bowling for Columbine', 'Arctic Tale']"
Before the Revolution,"['The Allnighter', 'Vital Signs', 'Ossessione', 'The Mother', 'The School of Flesh']"
Afterschool,"['Normal Adolescent Behavior', 'I Love You, I Love You Not', 'The Dunwich Horror', 'The Kentucky Fried Movie', 'All About Lily Chou-Chou']"
Dragonquest,"['The Nibelungs, Tale 1: Siegfried', 'Little Monsters', 'La Ronde', 'Happenstance', 'Mortal Kombat: Annihilation']"
The Dark Lurking,"['Mutant Chronicles', 'Against the Dark', 'Diary of the Dead', 'Dead Fury', 'Tremors 2: Aftershocks']"
Aelita: Queen of Mars,"['Dangerous Game', 'A Home of Our Own', 'Escape from L.A.', 'Los Angeles Plays Itself', 'Volcano']"
The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks,"['Shadows', 'Demon Lover Diary', 'The End of St. Petersburg', 'Intervista', 'The Song of Ceylon']"
Up in the Air,"['Trans', 'Warriors of Virtue', 'Whatever It Takes', 'The Dust Factory', 'The Naked Spur']"
David Copperfield,False
Expo Magic of the White City,"['Cool World', 'Left Behind III: World at War', 'Endgame: Blueprint for Global Enslavement', 'Cinemania', 'Ice Castles']"
H.H. Holmes: America's First Serial Killer,"['The Private Life of Sherlock Holmes', 'The Seven-Per-Cent Solution', 'The Royal Scandal', 'Without a Clue', 'Every Little Step']"
The Cuenca Crime,"['El Amor Brujo', 'After Innocence', 'South Central', 'Life', 'Highwaymen']"
Korczak,"['Katyn', 'Europa Europa', 'Pan Tadeusz', 'The Long Way Home', 'Rules of Engagement']"
You're Gonna Miss Me: A Film About Roky Erickson,"['Moog', 'It Might Get Loud', 'Trekkies 2', 'Shadow Company', 'Metallica: Some Kind of Monster']"
Forever,"['Endgame: Blueprint for Global Enslavement', 'Cinemania', 'The Prince of Egypt', 'Small Wonders', 'Caramel']"
Dimensions of Dialogue,"['Darkness/Light/Darkness', 'Cat Soup', ""You're a Good Man, Charlie Brown"", 'Robot Carnival', 'Fritz the Cat']"
Darkness/Light/Darkness,"['Dimensions of Dialogue', ""You're a Good Man, Charlie Brown"", 'Fritz the Cat', 'Animal Farm', 'Window to Paris']"
35 Shots of Rum,"['My New Gun', 'Possible Worlds', 'August Evening', 'Carnal Knowledge', 'Since Otar Left']"
Tormented,False
Mutant Pumpkins from Outer Space,"['Monsters vs Aliens', 'Mutant Aliens', 'Spaced Invaders', 'Slither', 'Godzilla: Final Wars']"
Ali Zaoua: Prince of the Streets,"['By the Bluest of Seas', ""Frank Herbert's Children of Dune"", 'Children of Heaven', 'Heaven Knows, Mr. Allison', 'Bad Luck Love']"
The 13th Letter,"['Le Corbeau', 'La Région Centrale', 'Crush', 'Passchendaele', 'Nô']"
23 Paces to Baker Street,"['The Wrong Arm of the Law', 'Martyrs', 'Lady on a Train', 'St. Ives', 'The Alphabet Killer']"
"Maradona, the Hand of God","['Maradona by Kusturica', 'Admiral', 'Savior', 'Game Over: Kasparov and the Machine', 'Crane World']"
The Collector,False
A Jungle Book of Regulations,"['The Comedians of Comedy', 'Buddy Buddy', 'Bill Cosby: Himself', 'Money Talks', 'Torrente 2: Mission in Marbella']"
Ryan,"['The Road to Guantanamo', 'Trekkies 2', 'Shadow Company', 'Life and Debt', 'Before Flying Back to Earth']"
Balance,"['Liberty Heights', 'Le Petit Soldat', 'Radio Inside', 'Zoo', 'Overnight Delivery']"
Vampire Girl vs. Frankenstein Girl,"['Vampire Hunter D', 'Normal Adolescent Behavior', 'Blood: The Last Vampire', 'Once Bitten', 'Blackrock']"
Is Anybody There?,"['A Little Romance', 'Monsieur Ibrahim', 'Spring, Summer, Fall, Winter... and Spring', 'A Rumor of Angels', 'Paradise']"
Les Misérables,False
Vital Signs,"['Nina Takes a Lover', 'Just Bea', 'Gross Anatomy', 'Puddle Cruiser', 'Jersey Girl']"
Saw VI,"['Saw IV', 'Saw V', 'Saw II', 'Saw III', 'Saw']"
This Is It,"['Instrument: Ten Years with the Band Fugazi', 'Amazing Journey: The Story of The Who', 'Lessons of Darkness', 'D.O.A.', 'Moog']"
Love Exposure,"['The Sum of Us', 'CRAZY', 'The Road Home', 'Radio Inside', 'Then She Found Me']"
A Dangerous Woman,"['Mostly Martha', 'Pauline & Paulette', 'Hush', 'The Hi-Line', 'Monsieur Hire']"
Twilight of the Ice Nymphs,"['Peter-No-Tail', 'Next of Kin', 'Playmobil: The Secret of Pirate Island', 'Island in the Sun', 'Hook']"
Grave Decisions,"['The Adventures of Sebastian Cole', 'Children on Their Birthdays', 'The Snapper', 'A Little Romance', 'New Waterford Girl']"
99 River Street,"['Hangover Square', 'Caught Up', 'The Intended', 'Goodbye Solo', 'The Driver']"
40 Guns to Apache Pass,"['The Five Man Army', 'Children of the Stork', 'Gardens of Stone', 'The Dirty Dozen: Next Mission', 'The Man from Laramie']"
Cirque du Freak: The Vampire's Assistant,"['Conspiracy', 'The River Wild', 'Ripley Under Ground', 'Wake of Death', 'Left Behind III: World at War']"
The Boondock Saints II: All Saints Day,"['The Boondock Saints', 'Double Jeopardy', 'Thunderheart', 'Up the River', 'Police Story']"
Good Hair,"[""Who's the Man?"", 'Twist of Faith', 'Black Dynamite', 'Unmade Beds', 'Street Fight']"
Black Dynamite,"['Undercover Brother', 'Posse', 'Tekkonkinkreet', 'Coonskin', ""Sweet Sweetback's Baadasssss Song""]"
Big Fan,"['Death Wish 3', ""In My Father's Den"", 'Misery', 'Les Enfants Terribles', 'Adam & Paul']"
Welcome to Dongmakgol,"['The Story of G.I. Joe', 'The Life and Death of Colonel Blimp', 'When the Wind Blows', 'House of Fools', 'The Rape of Europa']"
Salvage,"['Innocence', 'Someone to Watch Over Me', 'Claire of the Moon', 'To Cross the Rubicon', 'What Lies Beneath']"
Astro Boy,"['The Spirit', 'Executioners', 'C.H.O.M.P.S.', 'Nicholas Nickleby', 'Making Mr. Right']"
One Hundred Men and a Girl,"['My Man Godfrey', 'Gold Diggers of 1935', 'Three Smart Girls', 'Dimensions of Dialogue', 'Honeysuckle Rose']"
Fun Is Beautiful,"['Now or Never', ""L'eclisse"", 'Ong Bak 2', 'A Little Romance', 'Ghoulies']"
Gentlemen Broncos,"['Tainted', 'Nicotina', 'Who Is Cletis Tout?', 'Black Moon Rising', 'Beautiful Joe']"
Fantastic Mr. Fox,"['The Royal Tenenbaums', 'The Life Aquatic with Steve Zissou', 'Spider Baby', 'Edges of the Lord', 'Young Black Stallion']"
Creation,"['Dedication', 'Admiral', 'The Message', 'Fireflies in the Garden', 'W.']"
Between the Devil and the Deep Blue Sea,"['Left Luggage', 'Lost Embrace', 'Leave it to Beaver', 'The Boxer', 'Fire Down Below']"
Coco Chanel & Igor Stravinsky,"['Coco Before Chanel', 'His Private Secretary', 'Schultze Gets the Blues', 'Star Maps', 'Will Success Spoil Rock Hunter?']"
Top Dog,"['Cops & Robbersons', 'Showtime', 'Code of Silence', 'Shakedown', 'The Machine Girl']"
The Pebble and the Penguin,"['The Wrong Trousers', 'The Fox and the Hound', 'Tarzan', 'Up', 'The Indian in the Cupboard']"
MVP: Most Valuable Primate,"['Three Wishes', 'Jack', 'Ed', 'Playmobil: The Secret of Pirate Island', 'Lightning Jack']"
Not Easily Broken,"['Kiss Me Again', 'Crash', 'Snow Cake', 'Open Hearts', 'A Summer Place']"
Price of Glory,"['Sleepless in Seattle', 'Little Boy Blue', 'One-Eyed Jacks', 'Friends & Lovers', 'Sunflower']"
Placido,"['When the Last Sword Is Drawn', 'The Executioner', 'Scorchers', 'Mermaids', 'Picnic']"
The Indian Tomb,"['The Tiger of Eschnapur', 'Harold & Kumar Escape from Guantanamo Bay', 'Jinxed!', 'Stranger Than Fiction', 'North West Frontier']"
L'Amour Fou,"['Breathless', 'Vivre Sa Vie', 'A Woman Is a Woman', 'Those Who Love Me Can Take the Train', 'The Wild Child']"
Storm Over Asia,"['Point of Order!', 'The Desert Rats', 'The Great War', 'Curse of the Puppet Master', 'Kim']"
Most,"['CRAZY', 'The Sum of Us', 'Samsara', 'Dedication', 'Romulus, My Father']"
Arsenal,"['The Life and Death of Colonel Blimp', 'How I Unleashed World War II Part III: Among Friends', 'Midway', 'The Beguiled', 'House of Fools']"
Barren Lives,"['It Runs in the Family', 'Once Were Warriors', 'Anne Frank Remembered', 'Young Black Stallion', ""What's Cooking?""]"
A Christmas Carol,False
The Lusty Men,"['The Man From Utah', 'Junior Bonner', 'Pursued', 'Breakdown', 'The Red Badge of Courage']"
The Hart of London,"['Possible Loves', 'Begotten', 'Three Colors: Blue', 'Frozen', 'A Night to Remember']"
Outskirts,"['The Life and Death of Colonel Blimp', 'Mrs. Miniver', 'Midway', '49th Parallel', 'House of Fools']"
Fires Were Started,"['Why We Fight: Prelude to War', 'The Rape of Europa', 'The Life and Death of Colonel Blimp', 'House of Fools', 'Shooting War']"
Battlestar Galactica: The Plan,"['Battlestar Galactica: Razor', 'The Bear', 'The Twelve Tasks of Asterix', 'Humanoids from the Deep', 'King David']"
The Chronicle of Anna Magdalena Bach,"['Crazy Heart', 'The First Day of the Rest of Your Life', 'Julien Donkey-Boy', 'The Music Room', 'This Is Elvis']"
Hell's Hinges,"['Warlock', 'Man with the Gun', 'The Visit', 'The Reaping', 'OT: Our Town']"
Michael Jackson: Life of a Superstar,"['Unknown White Male', 'The Soviet Story', 'Trekkies 2', 'Crazy Love', 'Shadow Company']"
Kaagaz Ke Phool,"['Shadows', 'The Country Girl', 'Intervista', 'Good Men, Good Women', 'Firelight']"
Murder by Contract,"['Bangkok Dangerous', 'The Line', 'Chronicles', 'SPL: Kill Zone', 'The Contract']"
The Private Lives of Pippa Lee,"['Cyrus', 'The Umbrella Woman', 'Too Beautiful for You', 'Dedication', 'Man About Town']"
Our Daily Bread,False
The Doctor Takes a Wife,"['Libeled Lady', 'My Sister Eileen', 'Lies & Illusions', 'Arsenic and Old Lace', 'Edie & Pen']"
A Night to Remember,False
The Toll of the Sea,"['A Little Romance', ""L'eclisse"", 'Mala Noche', 'The Man from Beyond', 'Five Corners']"
Partly Cloudy,"['Superbabies: Baby Geniuses 2', ""Don't Tell Her It's Me"", 'Life Is a Long Quiet River', 'Baby Geniuses', 'Rent-a-Kid']"
Rocks,"['Dimensions of Dialogue', 'The Care Bears Movie', 'Steamboat Bill, Jr.', 'Out Cold', 'The Comedy of Terrors']"
The Chechahcos,"['Moll Flanders', 'Freeway', 'Ghost River', ""The Wooden Man's Bride"", 'Liberty Stands Still']"
Grey Gardens,False
Goemon,"['Being John Malkovich', 'Singapore Sling', 'Eden Log', 'The Message', 'Billy Bathgate']"
2012,"['Left Behind III: World at War', 'Godzilla: Final Wars', 'Journey to the Center of the Earth', 'Cool World', 'Death Note']"
The Box,"['A Simple Plan', 'Vanilla Sky', 'Arthur 2: On the Rocks', 'Lara Croft Tomb Raider: The Cradle of Life', 'Jack O']"
Broken Embraces,"['Live Flesh', 'Talk to Her', 'The Flower of My Secret', 'Volver', 'Matador']"
Sunday,"['Shadows', 'Good Men, Good Women', 'Firelight', 'Intervista', 'Inside Deep Throat']"
Through the Mist,"['Possible Loves', 'Southern Comfort', 'Mr. Untouchable', 'Barenaked in America', 'A Brief History of Time']"
The Fourth Kind,"['The Unsuspected', 'Diamonds', 'Where Sleeping Dogs Lie', 'Bunny Lake Is Missing', 'Color of Night']"
Precious,"['Baby Boy', 'Wildflowers', 'Fanny', 'The Crime of Padre Amaro', 'Human Trafficking']"
The Undercover Man,"['Donnie Brasco', 'Bullets or Ballots', 'Face/Off', 'Gorky Park', 'Pretty Poison']"
The Bad Lieutenant: Port of Call - New Orleans,"[""Gridlock'd"", 'The Big Easy', ""Heaven's Prisoners"", 'A Love Song for Bobby Long', 'Streets of Blood']"
The Twilight Saga: New Moon,"['Twilight', 'The Slipper and the Rose', 'Map of the Human Heart', 'The Karate Kid, Part II', 'Lady Jane']"
Derailed,False
The Messenger,"['Gardens of Stone', ""One Man's Hero"", 'Point of Order!', 'The 300 Spartans', 'The Recruiter']"
Keith,"['Late Bloomers', 'Normal Adolescent Behavior', 'The Curiosity of Chance', 'Texasville', 'Jeremy']"
Lemon Tree,"['Satin Rouge', 'Pastoral Symphony', 'Ajami', 'Jellyfish', 'About Schmidt']"
Ninja Assassin,"['The Fifth Commandment', 'The Replacement Killers', 'American Ninja 5', 'Jimmy and Judy', 'Run, Simon, Run']"
"Police, Adjective","['Jennifer Eight', 'On Dangerous Ground', 'Macao', 'On the Outs', 'The City']"
Wake of Death,"['Sudden Death', 'JCVD', 'Second In Command', 'Universal Soldier: Regeneration', 'Missing in Action']"
Second In Command,"['Wake of Death', 'Sudden Death', 'JCVD', 'Taxi 4', 'Knock Off']"
Efectos secundarios,"['Lars and the Real Girl', 'Breaking Up', 'All About Lily Chou-Chou', 'Sweet Hearts Dance', 'Dedication']"
A Plumm Summer,"['The Legend of Lobo', 'Ten Canoes', 'The Squid and the Whale', 'Coach Carter', 'The Game of Their Lives']"
Wattstax,"['Trekkies 2', 'Let It Be', 'The Living Room of the Nation', 'The Song of Ceylon', 'Fahrenhype 9/11']"
The Hard Corps,"['Wake of Death', 'Jacknife', 'Legionnaire', 'The Dogs of War', 'Lionheart']"
Oxford Blues,"['Chance', 'A Little Romance', 'The Smart Set', 'La Ronde', 'Straw Dogs']"
Cell 211,"['Condition Red', 'Down by Law', 'Triumph of the Spirit', 'Frankie Starlight', 'Fall Time']"
A Film with Me in It,"['Tainted', 'Trixie', 'Unconscious', 'Repulsion', 'The Nines']"
The Last Remake of Beau Geste,"['Dead Fury', 'Hot Lead & Cold Feet', 'Journey to the Center of the Earth', 'Bad Company', 'Taxi']"
Doomwatch,"['Prophecy', 'The Signal', 'Attack of the Crab Monsters', 'The Killer Shrews', 'Inseminoid']"
Until Death,"['Sudden Death', 'Wake of Death', 'Second In Command', 'JCVD', 'The Shepherd: Border Patrol']"
Yeelen,"['Along the Ridge', ""L'eclisse"", 'Ong Bak 2', 'La Ronde', 'The Crime of Padre Amaro']"
Carnival in Flanders,"['OT: Our Town', 'Scorchers', 'Blazing Saddles', 'Picnic', 'The Patriot']"
Pakeezah,"['Mother India', 'I Love You, I Love You Not', 'Anna', 'The Good Night', 'The Turning Point']"
Princess Yang Kwei Fei,"[""Japan's Longest Day"", 'Taira Clan Saga', 'Jodhaa Akbar', 'Temptation of a Monk', 'Curse of the Golden Flower']"
The Patriot,False
Ticker,"['The Delta Force', 'The Warriors', 'The Cheap Detective', 'Executive Decision', 'Marked Woman']"
Turtles Forever,"['Dead Fury', 'Rugrats Go Wild', ""The Cameraman's Revenge"", ""VeggieTales: The Pirates Who Don't Do Anything"", 'Disaster Movie']"
Merry Madagascar,"['Madagascar: Escape 2 Africa', 'Shrek the Halls', 'Madagascar', 'All I Want For Christmas', '13B: Fear Has a New Address']"
Brothers,False
Portraits of Women,"['The Life and Death of Peter Sellers', 'Some Kind of Hero', ""Arn: The Kingdom at Road's End"", 'White Hunter Black Heart', ""Dead Man's Shoes""]"
The Fly,False
Summer of the Monkeys,"['Last Summer in the Hamptons', 'Born to Win', 'Cockles and Muscles', 'Intimacy', ""What's Cooking?""]"
The Man Without a Shadow,"['Victory Through Air Power', 'Shadows', 'Firelight', 'The Cathedral', 'Mondovino']"
Garage,"['Summer in Berlin', 'French Cancan', 'Heimat: A Chronicle of Germany', 'New York', 'Julien Donkey-Boy']"
"Billy Blazes, Esq.","[""Rockin' In The Rockies"", 'Now or Never', 'High and Dizzy', 'Pocket Money', 'Support Your Local Gunfighter']"
Home Movie,False
Sleep Dealer,"['Sin Nombre', 'Naqoyqatsi', ""It's All About Love"", 'The Quiet Earth', 'Things to Come']"
Before I Self Destruct,"['Menace II Society', 'Lymelife', 'Coonskin', 'The Leopard Son', 'Babymother']"
Hoop Reality,"['Hoop Dreams', 'Stevie', 'Little Nemo: Adventures In Slumberland', 'In Dreams', 'Dreamscape']"
Printed Rainbow,"[""Garfield's Pet Force"", 'The Twelve Tasks of Asterix', 'The Green Ray', 'Fritz the Cat', 'A Price Above Rubies']"
The Blind Side,"['Party Monster: The Shockumentary', 'True Love', 'Summer Lovers', 'Halloween 4: The Return of Michael Myers', 'Parting Glances']"
Happiness,False
A Tale of the Wind,"['A Brief History of Time', 'Grizzly Man', 'The Windmill Movie', 'Trekkies 2', 'Reindeerspotting - Escape From Santaland']"
Zorns Lemma,"['Shadows', 'The Song of Ceylon', 'Good Men, Good Women', 'Lessons of Darkness', 'Inside Deep Throat']"
The Ceremony,"['Heimat: A Chronicle of Germany', 'Mr & Mrs Bridge', ""What's Cooking?"", 'Spider Baby', 'Death by Hanging']"
The Italian Straw Hat,"['Journeys with George', ""Arn: The Kingdom at Road's End"", 'Herbie Rides Again', 'Dot the I', 'Clubland']"
"Tom, Tom, the Piper's Son","['Mystery Date', 'Tom and Huck', 'The Pallbearer', 'Born to the West', 'Striking Distance']"
